scope,issue,phase,run_id,attempt,status,responses,input,output,cache_read,cache_write,total_tokens,model_seconds,runner_seconds,url
issue,2,all,,,,16,51255,17427,296499,0,365181,1616.2,1655,https://github.com/YuriiSokolenko/social-mcp/issues/2
issue,9,all,,,,11,28136,5871,178842,0,212849,749.0,772,https://github.com/YuriiSokolenko/social-mcp/issues/9
issue,10,all,,,,14,32423,59901,296631,0,388955,7281.5,7339,https://github.com/YuriiSokolenko/social-mcp/issues/10
issue,16,all,,,,195,162228,115603,23260936,0,23538767,22536.8,22728,https://github.com/YuriiSokolenko/social-mcp/issues/16
issue,17,all,,,,11,25892,4498,233580,0,263970,484.6,503,https://github.com/YuriiSokolenko/social-mcp/issues/17
issue,18,all,,,,238,207781,72161,12606845,0,12886787,9458.2,9751,https://github.com/YuriiSokolenko/social-mcp/issues/18
issue,20,all,,,,77,118824,26533,2372348,0,2517705,3442.1,3517,https://github.com/YuriiSokolenko/social-mcp/issues/20
issue,21,all,,,,12,33102,7740,281553,0,322395,787.3,808,https://github.com/YuriiSokolenko/social-mcp/issues/21
issue,22,all,,,,14,23010,6366,241121,0,270497,584.9,605,https://github.com/YuriiSokolenko/social-mcp/issues/22
issue,24,all,,,,17,37653,2814,523942,0,564409,339.7,359,https://github.com/YuriiSokolenko/social-mcp/issues/24
issue,25,all,,,,10,19537,2657,89273,0,111467,165.6,266,https://github.com/YuriiSokolenko/social-mcp/issues/25
issue,78,all,,,,104,134222,68374,7183983,0,7386579,5098.3,5340,https://github.com/YuriiSokolenko/social-mcp/issues/78
issue,79,all,,,,30,71329,26350,1564623,0,1662302,5538.1,5617,https://github.com/YuriiSokolenko/social-mcp/issues/79
issue,92,all,,,,8,41976,1202,164060,0,207238,238.3,259,https://github.com/YuriiSokolenko/social-mcp/issues/92
issue,93,all,,,,104,139133,105298,8330206,0,8574637,20705.9,21042,https://github.com/YuriiSokolenko/social-mcp/issues/93
issue,93,all,,,,96,90910,96513,11322597,0,11510020,16664.9,16762,https://github.com/YuriiSokolenko/social-mcp/issues/93
issue,95,all,,,,119,85348,108577,15000874,0,15194799,21296.3,21464,https://github.com/YuriiSokolenko/social-mcp/issues/95
attempt,25,implementation,36039015936,1,cancelled,10,19537,2657,89273,0,111467,165.6,266,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36039015936/attempts/1
attempt,10,implementation,36093253439,1,success,14,32423,59901,296631,0,388955,7281.5,7339,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36093253439/attempts/1
attempt,18,implementation,36093256959,1,success,78,61865,30747,2878475,0,2971087,3027.9,3130,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36093256959/attempts/1
attempt,18,review,36119289925,1,success,129,74728,25155,8290449,0,8390332,4579.4,4693,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36119289925/attempts/1
attempt,16,architect,36126874864,1,success,28,58595,13150,1386987,0,1458732,2213.5,2235,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36126874864/attempts/1
attempt,17,architect,36126876167,1,success,11,25892,4498,233580,0,263970,484.6,503,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36126876167/attempts/1
attempt,20,architect,36126878334,1,failure,20,30544,6877,490965,0,528386,695.2,715,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36126878334/attempts/1
attempt,21,architect,36126880218,1,success,12,33102,7740,281553,0,322395,787.3,808,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36126880218/attempts/1
attempt,22,architect,36126881899,1,success,14,23010,6366,241121,0,270497,584.9,605,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36126881899/attempts/1
attempt,18,review,36138327125,1,success,31,71188,16259,1437921,0,1525368,1850.9,1928,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36138327125/attempts/1
attempt,24,architect,36158903378,1,success,17,37653,2814,523942,0,564409,339.7,359,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36158903378/attempts/1
attempt,20,architect,36160509033,1,failure,23,54873,6241,893623,0,954737,891.5,919,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36160509033/attempts/1
attempt,20,architect,36167247944,1,success,34,33407,13415,987760,0,1034582,1855.4,1883,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36167247944/attempts/1
attempt,78,implementation,36188358891,1,success,82,75440,50504,6522208,0,6648152,3507.5,3619,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36188358891/attempts/1
attempt,2,architect,36190818216,1,failure,9,22430,9379,159205,0,191014,882.9,902,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36190818216/attempts/1
attempt,2,architect,36193816095,1,success,7,28825,8048,137294,0,174167,733.3,753,https://github.com/YuriiSokolenko/social-mcp/actions/runs/36193816095/attempts/1
